Frame,keypoint
44.0,"[0.10625, 0.4527777777777778]"
44.0,"[0.10833333333333334, 0.4375]"
44.0,"[0.11875, 0.39305555555555555]"
44.0,"[0.134375, 0.35555555555555557]"
44.0,"[0.15729166666666666, 0.32083333333333336]"
44.0,"[0.8354166666666667, 0.08472222222222223]"
45.0,"[0.10625, 0.47638888888888886]"
45.0,"[0.10729166666666666, 0.4625]"
45.0,"[0.10625, 0.4527777777777778]"
45.0,"[0.10833333333333334, 0.4375]"
45.0,"[0.11875, 0.39305555555555555]"
45.0,"[0.134375, 0.35555555555555557]"
45.0,"[0.15729166666666666, 0.32083333333333336]"
45.0,"[0.8354166666666667, 0.08472222222222223]"
46.0,"[0.10729166666666666, 0.4625]"
46.0,"[0.10625, 0.4527777777777778]"
46.0,"[0.10833333333333334, 0.4375]"
46.0,"[0.11875, 0.39305555555555555]"
46.0,"[0.134375, 0.35555555555555557]"
46.0,"[0.15729166666666666, 0.32083333333333336]"
46.0,"[0.8354166666666667, 0.08472222222222223]"
47.0,"[0.10625, 0.4527777777777778]"
47.0,"[0.10833333333333334, 0.4375]"
47.0,"[0.11875, 0.39305555555555555]"
47.0,"[0.134375, 0.35555555555555557]"
47.0,"[0.15729166666666666, 0.32083333333333336]"
47.0,"[0.8354166666666667, 0.08472222222222223]"
48.0,"[0.10833333333333334, 0.4375]"
48.0,"[0.11875, 0.39305555555555555]"
48.0,"[0.134375, 0.35555555555555557]"
48.0,"[0.15729166666666666, 0.32083333333333336]"
48.0,"[0.8354166666666667, 0.08472222222222223]"
