Frame,keypoint
17.0,"[0.18333333333333332, 0.5597222222222222]"
17.0,"[0.17395833333333333, 0.5430555555555555]"
17.0,"[0.16145833333333334, 0.525]"
17.0,"[0.11770833333333333, 0.4986111111111111]"
17.0,"[0.11041666666666666, 0.49444444444444446]"
17.0,"[0.10625, 0.47638888888888886]"
18.0,"[0.18541666666666667, 0.6847222222222222]"
18.0,"[0.1875, 0.6819444444444445]"
18.0,"[0.18958333333333333, 0.6763888888888889]"
18.0,"[0.18958333333333333, 0.6666666666666666]"
18.0,"[0.19270833333333334, 0.6569444444444444]"
18.0,"[0.19583333333333333, 0.6444444444444445]"
18.0,"[0.19583333333333333, 0.6263888888888889]"
18.0,"[0.19166666666666668, 0.5819444444444445]"
18.0,"[0.18333333333333332, 0.5597222222222222]"
18.0,"[0.17395833333333333, 0.5430555555555555]"
18.0,"[0.16145833333333334, 0.525]"
18.0,"[0.11770833333333333, 0.4986111111111111]"
18.0,"[0.11041666666666666, 0.49444444444444446]"
18.0,"[0.10625, 0.47638888888888886]"
18.0,"[0.10729166666666666, 0.4625]"
19.0,"[0.18541666666666667, 0.6847222222222222]"
19.0,"[0.1875, 0.6819444444444445]"
19.0,"[0.18958333333333333, 0.6763888888888889]"
19.0,"[0.18958333333333333, 0.6666666666666666]"
19.0,"[0.19270833333333334, 0.6569444444444444]"
19.0,"[0.19583333333333333, 0.6444444444444445]"
19.0,"[0.19583333333333333, 0.6263888888888889]"
19.0,"[0.19166666666666668, 0.5819444444444445]"
19.0,"[0.18333333333333332, 0.5597222222222222]"
19.0,"[0.17395833333333333, 0.5430555555555555]"
19.0,"[0.16145833333333334, 0.525]"
19.0,"[0.11770833333333333, 0.4986111111111111]"
19.0,"[0.11041666666666666, 0.49444444444444446]"
19.0,"[0.10625, 0.47638888888888886]"
19.0,"[0.10729166666666666, 0.4625]"
19.0,"[0.10625, 0.4527777777777778]"
20.0,"[0.18541666666666667, 0.6847222222222222]"
20.0,"[0.1875, 0.6819444444444445]"
20.0,"[0.18958333333333333, 0.6763888888888889]"
20.0,"[0.18958333333333333, 0.6666666666666666]"
20.0,"[0.19270833333333334, 0.6569444444444444]"
20.0,"[0.19583333333333333, 0.6444444444444445]"
20.0,"[0.19583333333333333, 0.6263888888888889]"
20.0,"[0.19166666666666668, 0.5819444444444445]"
20.0,"[0.18333333333333332, 0.5597222222222222]"
20.0,"[0.17395833333333333, 0.5430555555555555]"
20.0,"[0.16145833333333334, 0.525]"
