Frame,keypoint,Left Elbow Angle,Right Elbow Angle,Left Knee Angle,Right Knee Angle,Shooting
1.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.13312     0.55916]
  [   0.099098     0.59478]
  [    0.12465     0.61715]
  [     0.1204     0.66107]
  [    0.12597     0.70158]
  [    0.15583     0.68683]
  [    0.16832     0.68716]
  [   0.061727     0.72109]
  [   0.085811     0.73093]
  [   0.076871     0.80486]
  [    0.13564      0.8216]
  [   0.051358     0.90295]
  [    0.11778     0.92208]]]",143.8300825609935,72.08972336851983,155.1731452826394,141.13251665114097,False
2.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.13212     0.55964]
  [   0.096352     0.59306]
  [     0.1237     0.61461]
  [    0.11728     0.66262]
  [    0.12556     0.70263]
  [    0.15371     0.68418]
  [    0.16912     0.68769]
  [   0.061678     0.72251]
  [   0.086696      0.7323]
  [   0.081072       0.805]
  [    0.13679     0.82075]
  [   0.056012     0.90022]
  [    0.11542     0.91898]]]",137.36095085088596,72.27989632558048,152.02524769796395,138.20140927072168,False
3.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.13215     0.56455]
  [   0.093271     0.59558]
  [    0.12329     0.61728]
  [    0.11581     0.66353]
  [    0.12766      0.7043]
  [    0.15329     0.67923]
  [    0.17045     0.68271]
  [   0.060477     0.72505]
  [   0.086688     0.73499]
  [   0.083623     0.80656]
  [    0.13626     0.82247]
  [   0.057188     0.90197]
  [    0.11298     0.91969]]]",131.07417153123941,66.1041690516492,148.66076481470736,136.99859929750411,False
4.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.12854     0.56069]
  [   0.091656     0.59662]
  [    0.12286     0.61736]
  [    0.11526     0.66486]
  [    0.12938      0.7042]
  [    0.15321     0.67705]
  [    0.17119     0.67969]
  [   0.059794     0.72822]
  [   0.086612     0.73767]
  [   0.083685     0.80871]
  [    0.13713     0.82366]
  [   0.056988       0.904]
  [    0.10988     0.92099]]]",126.88283960743944,63.92057123437445,147.81677199934722,133.91827960447674,False
5.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [     0.1267     0.56162]
  [   0.088486      0.5967]
  [    0.12226     0.61853]
  [    0.11424     0.66343]
  [    0.13068     0.70545]
  [    0.15277     0.67054]
  [    0.17106     0.67483]
  [   0.059131      0.7288]
  [   0.087716     0.73872]
  [   0.084123     0.80779]
  [    0.13934     0.82287]
  [   0.056065       0.905]
  [    0.11027     0.92063]]]",121.56145288546084,58.35454079670434,146.34277619532344,131.90982149789946,False
6.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.12403     0.56199]
  [   0.086374     0.59647]
  [    0.12152     0.62109]
  [    0.11564     0.65905]
  [    0.13437     0.70617]
  [    0.15423     0.66415]
  [    0.17057     0.66983]
  [   0.059043     0.72866]
  [   0.088515     0.73945]
  [   0.084144     0.80745]
  [    0.13947     0.82373]
  [   0.056116     0.90545]
  [    0.11087     0.92072]]]",122.58415077026518,53.480029446457586,146.36929098968145,132.41991368549435,False
7.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.12147     0.56275]
  [   0.083151     0.59621]
  [    0.11964     0.62129]
  [    0.11738      0.6504]
  [    0.14223     0.69686]
  [    0.16243     0.65073]
  [    0.17817      0.6527]
  [   0.058805     0.72763]
  [   0.088097     0.73875]
  [   0.088668     0.80796]
  [     0.1393     0.82478]
  [   0.059082     0.90594]
  [    0.10823     0.92037]]]",122.69900723134812,55.77919747958352,142.80457428071676,131.2327038643411,True
8.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.11842      0.5629]
  [   0.080567      0.5953]
  [    0.11864     0.61956]
  [    0.12006     0.64367]
  [    0.15005     0.68957]
  [    0.16424     0.64194]
  [     0.1777     0.64518]
  [   0.057492     0.72963]
  [   0.087072     0.74014]
  [   0.092865     0.80882]
  [    0.14055     0.82473]
  [   0.061292     0.90684]
  [    0.10739     0.91914]]]",126.97253365162004,56.08277889762308,138.0762255636137,128.34670305320057,True
9.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.10739     0.56155]
  [   0.092811     0.59658]
  [    0.10745     0.61363]
  [    0.13466      0.6304]
  [    0.15198     0.66884]
  [    0.17233     0.59108]
  [    0.17381     0.61202]
  [   0.070779     0.73487]
  [   0.085723     0.74355]
  [   0.098112     0.81677]
  [    0.14705     0.83336]
  [   0.048699     0.91105]
  [    0.11869     0.93178]]]",94.82614587011747,59.90647588934713,133.8832817151696,129.602255747189,True
10.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.10761     0.56294]
  [   0.080825     0.59656]
  [    0.11297     0.61433]
  [    0.11869     0.62012]
  [    0.16452      0.6585]
  [    0.16353     0.58481]
  [    0.17667     0.60382]
  [   0.069704     0.73758]
  [   0.094452     0.74683]
  [   0.098694      0.8208]
  [    0.14645     0.83732]
  [   0.048634     0.91334]
  [    0.11462     0.93175]]]",109.89408276411004,61.93675645032259,132.38402787159512,131.49162267539793,True
11.0,"[[[          0           0]
  [          0           0]
  [          0           0]
  [          0           0]
  [    0.10572     0.57074]
  [   0.079652     0.60296]
  [    0.11294      0.6134]
  [    0.11369     0.61695]
  [    0.16967     0.63844]
  [    0.15583       0.569]
  [    0.17223     0.57673]
  [   0.070988     0.74112]
  [   0.095863      0.7475]
  [     0.1009     0.82383]
  [    0.14674     0.83685]
  [   0.047681     0.91491]
  [    0.11534     0.93122]]]",108.96145458389064,68.55440379374288,129.81869078160835,131.93738814138965,True
